Player,Unnamed: 0,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luke Kennard,133,SG,25,LAC,67,12,27.6,4.0,9.0,0.447,2.7,6.0,0.448,1.4,3.0,0.446,0.596,1.0,1.1,0.905,0.3,3.1,3.3,2.1,0.6,0.1,0.8,1.5,11.8
Corey Kispert,134,SF,22,WAS,72,31,23.0,2.9,6.5,0.447,1.4,4.0,0.344,1.5,2.5,0.615,0.553,0.7,0.8,0.864,0.7,1.9,2.6,1.1,0.4,0.3,0.6,1.2,7.9
Furkan Korkmaz,136,SG,24,PHI,63,19,21.7,2.9,7.3,0.394,1.2,4.1,0.296,1.7,3.2,0.52,0.477,1.0,1.3,0.8,0.3,2.4,2.7,2.0,0.5,0.1,0.7,0.9,7.9
Vit Krejci,137,SG,21,OKC,25,3,20.6,1.8,4.4,0.413,1.1,2.9,0.384,0.7,1.4,0.472,0.541,0.6,0.8,0.842,0.6,2.4,3.0,1.5,0.6,0.2,0.9,2.0,5.4
Caris LeVert,140,SG,27,CLE,15,6,29.0,5.5,12.9,0.43,1.3,3.7,0.345,4.3,9.2,0.464,0.479,1.5,2.1,0.71,0.8,2.7,3.5,3.6,0.9,0.3,1.7,2.0,13.8
Nassir Little,142,SF,21,POR,42,23,25.9,3.5,7.5,0.46,1.2,3.7,0.331,2.2,3.8,0.584,0.541,1.6,2.2,0.734,1.4,4.2,5.6,1.3,0.6,0.9,1.0,2.0,9.8
Kevon Looney,143,C,25,GSW,78,76,21.5,2.6,4.5,0.571,0.0,0.0,0.0,2.6,4.5,0.573,0.571,1.0,1.6,0.6,2.6,4.8,7.4,2.0,0.6,0.7,0.8,2.7,6.1
Kevin Love,144,PF,33,CLE,70,4,22.6,4.3,10.2,0.423,2.4,6.4,0.383,1.9,3.9,0.489,0.543,2.3,2.7,0.846,1.1,6.0,7.1,2.2,0.4,0.2,1.3,1.4,13.4
Trey Lyles,146,PF,26,SAC,20,16,23.4,3.6,7.4,0.49,1.1,2.7,0.389,2.6,4.7,0.548,0.561,2.5,2.9,0.862,1.4,4.4,5.8,1.4,0.3,0.3,0.8,1.3,10.8
Terance Mann,147,SF,25,LAC,77,32,28.9,4.1,8.5,0.483,0.9,2.6,0.36,3.2,5.9,0.537,0.538,1.6,2.1,0.78,1.3,4.0,5.4,2.6,0.7,0.2,1.0,2.2,10.8
